
URL                                                                     | Module                                          | Name                                                 | Decorator
/wf/api/historical-steps/context/                                       | workflow.views.HistoricalStepViewSet            | historicalstep-context                               | 
/wf/api/historical-steps/context\.<format>/                             | workflow.views.HistoricalStepViewSet            | historicalstep-context                               | 
/wf/api/historical-steps/vocab/                                         | workflow.views.HistoricalStepViewSet            | historicalstep-vocab                                 | 
/wf/api/historical-steps/vocab\.<format>/                               | workflow.views.HistoricalStepViewSet            | historicalstep-vocab                                 | 
/wf/api/historical-steps\.<format>/                                     | workflow.views.HistoricalStepViewSet            | historicalstep-list                                  | 
/wf/api/historical-workflows/                                           | workflow.views.HistoricalWorkflowViewSet        | historicalworkflow-list                              | 
/wf/api/historical-workflows/<pk>/                                      | workflow.views.HistoricalWorkflowViewSet        | historicalworkflow-detail                            | 
/wf/api/historical-workflows/<pk>\.<format>/                            | workflow.views.HistoricalWorkflowViewSet        | historicalworkflow-detail                            | 
/wf/api/historical-workflows/config/                                    | workflow.views.HistoricalWorkflowViewSet        | historicalworkflow-config                            | 
/wf/api/historical-workflows/config\.<format>/                          | workflow.views.HistoricalWorkflowViewSet        | historicalworkflow-config                            | 
/wf/api/historical-workflows/context/                                   | workflow.views.HistoricalWorkflowViewSet        | historicalworkflow-context                           | 
/wf/api/historical-workflows/context\.<format>/                         | workflow.views.HistoricalWorkflowViewSet        | historicalworkflow-context                           | 
/wf/api/historical-workflows/count/                                     | workflow.views.HistoricalWorkflowViewSet        | historicalworkflow-count                             | 
/wf/api/historical-workflows/count\.<format>/                           | workflow.views.HistoricalWorkflowViewSet        | historicalworkflow-count                             | 
/wf/api/historical-workflows/log_list/                                  | workflow.views.HistoricalWorkflowViewSet        | historicalworkflow-log-list                          | 
/wf/api/historical-workflows/log_list\.<format>/                        | workflow.views.HistoricalWorkflowViewSet        | historicalworkflow-log-list                          | 
/wf/api/historical-workflows/metrics/                                   | workflow.views.HistoricalWorkflowViewSet        | historicalworkflow-metrics                           | 
/wf/api/historical-workflows/metrics\.<format>/                         | workflow.views.HistoricalWorkflowViewSet        | historicalworkflow-metrics                           | 
/wf/api/historical-workflows/vocab/                                     | workflow.views.HistoricalWorkflowViewSet        | historicalworkflow-vocab                             | 
/wf/api/historical-workflows/vocab\.<format>/                           | workflow.views.HistoricalWorkflowViewSet        | historicalworkflow-vocab                             | 
/wf/api/historical-workflows\.<format>/                                 | workflow.views.HistoricalWorkflowViewSet        | historicalworkflow-list                              | 
